symbol,sector
CHALET,Unknown
JSL,Unknown
PARADEEP,Unknown
POWERINDIA,Unknown
MOTILALOFS,Unknown
PFIZER,Unknown
ENDURANCE,Unknown
SCHAEFFLER,Unknown
SUZLON,Unknown
PHOENIXLTD,Unknown
RBLBANK,Unknown
NETWEB,Unknown
PATANJALI,Unknown
IIFL,Unknown
IPCALAB,Unknown
NYKAA,Unknown
RVNL,Unknown
CHOLAHLDNG,Unknown
NAUKRI,Unknown
MEDANTA,Unknown
LAURUSLABS,Unknown
CLEAN,Unknown
IDFCFIRSTB,Unknown
PPLPHARMA,Unknown
RITES,Unknown
JUBLINGREA,Unknown
TRENT,Unknown
PCBL,Unknown
RKFORGE,Unknown
DIXON,Unknown
BHARATFORG,Unknown
TIINDIA,Unknown
CIPLA,Unknown
RELIANCE,Unknown
CHOLAFIN,Unknown
IREDA,Unknown
TATAINVEST,Unknown
SUPREMEIND,Unknown
ANANDRATHI,Unknown
GMDCLTD,Unknown
CROMPTON,Unknown
AWL,Unknown
UCOBANK,Unknown
BAJAJHLDNG,Unknown
ERIS,Unknown
APTUS,Unknown
SIEMENS,Unknown
BOSCHLTD,Unknown
COROMANDEL,Unknown
CEATLTD,Unknown
GILLETTE,Unknown
NAVINFLUOR,Unknown
UBL,Unknown
NSLNISP,Unknown
PERSISTENT,Unknown
GRANULES,Unknown
TEJASNET,Unknown
APLAPOLLO,Unknown
CIEINDIA,Unknown
ADANIENSOL,Unknown
SIGNATURE,Unknown
TATATECH,Unknown
ASTRAL,Unknown
MAXHEALTH,Unknown
KALYANKJIL,Unknown
GRSE,Unknown
KOTAKBANK,Unknown
INDIACEM,Unknown
INFY,Unknown
AJANTPHARM,Unknown
ANURAS,Unknown
AARTIIND,Unknown
GODREJPROP,Unknown
CRAFTSMAN,Unknown
IRCTC,Unknown
JBMA,Unknown
COALINDIA,Unknown
360ONE,Unknown
WOCKPHARMA,Unknown
ATGL,Unknown
IDEA,Unknown
CESC,Unknown
ONGC,Unknown
LODHA,Unknown
WELSPUNLIV,Unknown
HONASA,Unknown
AADHARHFC,Small Cap
ABDL,Small Cap
ABREL,Small Cap
ACMESOLAR,Small Cap
ACUTAAS,Small Cap
AEGISLOG,Small Cap
AEGISVOPAK,Small Cap
AFCONS,Small Cap
ATHERENERG,Small Cap
BAJAJHFL,Mid Cap
BELRISE,Small Cap
CEMPRO,Small Cap
COHANCE,Small Cap
EMCURE,Small Cap
ETERNAL,Large Cap
FIRSTCRY,Small Cap
GMRAIRPORT,Mid Cap
GODIGIT,Small Cap
GVT&D,Mid Cap
HBLENGINE,Small Cap
HEXT,Mid Cap
HYUNDAI,Large Cap
IGIL,Small Cap
IKS,Small Cap
INDGN,Small Cap
ITCHOTELS,Mid Cap
JSWDULUX,Small Cap
LTM,Large Cap
NIVABUPA,Small Cap
NTPCGREEN,Mid Cap
OLAELEC,Small Cap
ONESOURCE,Small Cap
PREMIERENE,Mid Cap
SAGILITY,Small Cap
SAILIFE,Small Cap
SAMMAANCAP,Small Cap
SWANCORP,Small Cap
SWIGGY,Mid Cap
TARIL,Small Cap
TBOTEK,Small Cap
THELEELA,Small Cap
TMPV,Large Cap
UNITDSPR,Large Cap
VMM,Mid Cap
WAAREEENER,Mid Cap
